 WARN  Checking for updates failed (use `--debug` to see full error)
 HTTP  2/25/2026 10:11:00 PM ::1 GET /photo_2025-12-19_22-22-10.jpg
 HTTP  2/25/2026 10:11:00 PM ::1 Returned 304 in 3 ms
 HTTP  2/25/2026 10:11:00 PM ::1 GET /photo_2025-12-19_22-23-03.jpg
 HTTP  2/25/2026 10:11:00 PM ::1 Returned 304 in 1 ms
 HTTP  2/25/2026 10:12:40 PM ::1 GET /
 HTTP  2/25/2026 10:12:40 PM ::1 Returned 200 in 11 ms
 HTTP  2/25/2026 10:12:41 PM ::1 GET /home.css
 HTTP  2/25/2026 10:12:41 PM ::1 GET /img1.png
 HTTP  2/25/2026 10:12:41 PM ::1 GET /Group%201.png
 HTTP  2/25/2026 10:12:41 PM ::1 Returned 200 in 5 ms
 HTTP  2/25/2026 10:12:41 PM ::1 Returned 404 in 8 ms
 HTTP  2/25/2026 10:12:41 PM ::1 Returned 404 in 9 ms
 HTTP  2/25/2026 10:12:41 PM ::1 GET /Group%202.png
 HTTP  2/25/2026 10:12:41 PM ::1 GET /Group%2023.png
 HTTP  2/25/2026 10:12:41 PM ::1 GET /Group%2022.png
 HTTP  2/25/2026 10:12:41 PM ::1 GET /Group%2020.png
 HTTP  2/25/2026 10:12:41 PM ::1 Returned 404 in 6 ms
 HTTP  2/25/2026 10:12:41 PM ::1 Returned 404 in 8 ms
 HTTP  2/25/2026 10:12:41 PM ::1 Returned 404 in 6 ms
 HTTP  2/25/2026 10:12:41 PM ::1 Returned 404 in 4 ms
 HTTP  2/25/2026 10:12:41 PM ::1 GET /Group%2021.png
 HTTP  2/25/2026 10:12:41 PM ::1 GET /home.js
 HTTP  2/25/2026 10:12:41 PM ::1 Returned 404 in 6 ms
 HTTP  2/25/2026 10:12:41 PM ::1 Returned 404 in 6 ms
 HTTP  2/25/2026 10:12:41 PM ::1 GET /Group%2011.png
 HTTP  2/25/2026 10:12:41 PM ::1 GET /Group%207.png
 HTTP  2/25/2026 10:12:41 PM ::1 Returned 404 in 18 ms
 HTTP  2/25/2026 10:12:41 PM ::1 GET /Vector%203.png
 HTTP  2/25/2026 10:12:41 PM ::1 GET /Group%2024.png
 HTTP  2/25/2026 10:12:41 PM ::1 GET /Group%2012.png
 HTTP  2/25/2026 10:12:41 PM ::1 GET /Group%2025.png
 HTTP  2/25/2026 10:12:41 PM ::1 Returned 404 in 11 ms
 HTTP  2/25/2026 10:12:41 PM ::1 GET /Group%2026.png
 HTTP  2/25/2026 10:12:41 PM ::1 Returned 404 in 12 ms
 HTTP  2/25/2026 10:12:41 PM ::1 Returned 404 in 9 ms
 HTTP  2/25/2026 10:12:41 PM ::1 Returned 404 in 15 ms
 HTTP  2/25/2026 10:12:41 PM ::1 Returned 404 in 10 ms
 HTTP  2/25/2026 10:12:41 PM ::1 GET /img1.png
 HTTP  2/25/2026 10:12:41 PM ::1 Returned 404 in 6 ms
 HTTP  2/25/2026 10:12:41 PM ::1 Returned 404 in 63 ms
 HTTP  2/25/2026 10:12:42 PM ::1 GET /favicon.ico
 HTTP  2/25/2026 10:12:42 PM ::1 Returned 404 in 2 ms
 HTTP  2/25/2026 10:12:47 PM ::1 GET /home.css
 HTTP  2/25/2026 10:12:47 PM ::1 Returned 200 in 3 ms
 HTTP  2/25/2026 10:12:47 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  2/25/2026 10:12:47 PM ::1 Returned 404 in 2 ms
 HTTP  2/25/2026 10:12:49 PM ::1 GET /
 HTTP  2/25/2026 10:12:49 PM ::1 Returned 200 in 17 ms
 HTTP  2/25/2026 10:12:50 PM ::1 GET /home.css
 HTTP  2/25/2026 10:12:50 PM ::1 Returned 304 in 2 ms
 HTTP  2/25/2026 10:12:50 PM ::1 GET /Group%201.png
 HTTP  2/25/2026 10:12:50 PM ::1 Returned 404 in 4 ms
 HTTP  2/25/2026 10:12:50 PM ::1 GET /img1.png
 HTTP  2/25/2026 10:12:50 PM ::1 Returned 404 in 2 ms
 HTTP  2/25/2026 10:12:50 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  2/25/2026 10:12:50 PM ::1 Returned 404 in 5 ms
 HTTP  2/25/2026 10:12:51 PM ::1 GET /Group%202.png
 HTTP  2/25/2026 10:12:51 PM ::1 Returned 404 in 3 ms
 HTTP  2/25/2026 10:12:51 PM ::1 GET /Group%2023.png
 HTTP  2/25/2026 10:12:51 PM ::1 GET /Group%2022.png
 HTTP  2/25/2026 10:12:51 PM ::1 Returned 404 in 4 ms
 HTTP  2/25/2026 10:12:51 PM ::1 Returned 404 in 5 ms
 HTTP  2/25/2026 10:12:51 PM ::1 GET /home.js
 HTTP  2/25/2026 10:12:51 PM ::1 Returned 404 in 10 ms
 HTTP  2/25/2026 10:12:51 PM ::1 GET /Group%2021.png
 HTTP  2/25/2026 10:12:51 PM ::1 Returned 404 in 4 ms
 HTTP  2/25/2026 10:12:51 PM ::1 GET /Group%2020.png
 HTTP  2/25/2026 10:12:51 PM ::1 Returned 404 in 2 ms
 HTTP  2/25/2026 10:12:51 PM ::1 GET /Group%2011.png
 HTTP  2/25/2026 10:12:51 PM ::1 GET /Group%207.png
 HTTP  2/25/2026 10:12:51 PM ::1 Returned 404 in 4 ms
 HTTP  2/25/2026 10:12:51 PM ::1 Returned 404 in 6 ms
 HTTP  2/25/2026 10:12:51 PM ::1 GET /Vector%203.png
 HTTP  2/25/2026 10:12:51 PM ::1 GET /Group%2012.png
 HTTP  2/25/2026 10:12:51 PM ::1 GET /Group%2024.png
 HTTP  2/25/2026 10:12:51 PM ::1 Returned 404 in 6 ms
 HTTP  2/25/2026 10:12:51 PM ::1 Returned 404 in 6 ms
 HTTP  2/25/2026 10:12:51 PM ::1 Returned 404 in 13 ms
 HTTP  2/25/2026 10:12:51 PM ::1 GET /Group%2025.png
 HTTP  2/25/2026 10:12:51 PM ::1 Returned 404 in 3 ms
 HTTP  2/25/2026 10:12:51 PM ::1 GET /Group%2026.png
 HTTP  2/25/2026 10:12:51 PM ::1 GET /img1.png
 HTTP  2/25/2026 10:12:51 PM ::1 Returned 404 in 16 ms
 HTTP  2/25/2026 10:12:51 PM ::1 Returned 404 in 16 ms
 HTTP  2/25/2026 10:13:46 PM ::1 GET /
 HTTP  2/25/2026 10:13:46 PM ::1 Returned 200 in 8 ms
 HTTP  2/25/2026 10:13:46 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  2/25/2026 10:13:46 PM ::1 Returned 404 in 2 ms
 HTTP  2/25/2026 10:13:46 PM ::1 GET /home.css
 HTTP  2/25/2026 10:13:46 PM ::1 Returned 200 in 2 ms
 HTTP  2/25/2026 10:13:46 PM ::1 GET /Group%201.png
 HTTP  2/25/2026 10:13:46 PM ::1 Returned 404 in 2 ms
 HTTP  2/25/2026 10:13:46 PM ::1 GET /img1.png
 HTTP  2/25/2026 10:13:46 PM ::1 Returned 404 in 1 ms
 HTTP  2/25/2026 10:13:47 PM ::1 GET /Group%202.png
 HTTP  2/25/2026 10:13:47 PM ::1 GET /Group%2023.png
 HTTP  2/25/2026 10:13:47 PM ::1 GET /Group%2022.png
 HTTP  2/25/2026 10:13:47 PM ::1 Returned 404 in 13 ms
 HTTP  2/25/2026 10:13:47 PM ::1 Returned 404 in 14 ms
 HTTP  2/25/2026 10:13:47 PM ::1 Returned 404 in 14 ms
 HTTP  2/25/2026 10:13:47 PM ::1 GET /home.js
 HTTP  2/25/2026 10:13:47 PM ::1 Returned 404 in 10 ms
 HTTP  2/25/2026 10:13:47 PM ::1 GET /Group%2021.png
 HTTP  2/25/2026 10:13:47 PM ::1 Returned 404 in 8 ms
 HTTP  2/25/2026 10:13:47 PM ::1 GET /Group%2020.png
 HTTP  2/25/2026 10:13:47 PM ::1 Returned 404 in 4 ms
 HTTP  2/25/2026 10:13:47 PM ::1 GET /Group%2011.png
 HTTP  2/25/2026 10:13:47 PM ::1 GET /Group%207.png
 HTTP  2/25/2026 10:13:47 PM ::1 Returned 404 in 3 ms
 HTTP  2/25/2026 10:13:47 PM ::1 GET /Vector%203.png
 HTTP  2/25/2026 10:13:47 PM ::1 GET /Group%2012.png
 HTTP  2/25/2026 10:13:47 PM ::1 Returned 404 in 5 ms
 HTTP  2/25/2026 10:13:47 PM ::1 GET /Group%2024.png
 HTTP  2/25/2026 10:13:47 PM ::1 Returned 404 in 5 ms
 HTTP  2/25/2026 10:13:47 PM ::1 Returned 404 in 5 ms
 HTTP  2/25/2026 10:13:47 PM ::1 Returned 404 in 5 ms
 HTTP  2/25/2026 10:13:47 PM ::1 GET /Group%2025.png
 HTTP  2/25/2026 10:13:47 PM ::1 Returned 404 in 2 ms
 HTTP  2/25/2026 10:13:47 PM ::1 GET /Group%2026.png
 HTTP  2/25/2026 10:13:47 PM ::1 Returned 404 in 4 ms
 HTTP  2/25/2026 10:31:56 PM ::1 GET /
 HTTP  2/25/2026 10:31:56 PM ::1 Returned 304 in 4 ms
 HTTP  2/25/2026 10:31:56 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  2/25/2026 10:31:56 PM ::1 Returned 404 in 3 ms
 HTTP  2/25/2026 10:31:56 PM ::1 GET /home.css
 HTTP  2/25/2026 10:31:56 PM ::1 Returned 304 in 2 ms
 HTTP  2/25/2026 10:31:56 PM ::1 GET /Group%201.png
 HTTP  2/25/2026 10:31:56 PM ::1 GET /img1.png
 HTTP  2/25/2026 10:31:56 PM ::1 Returned 404 in 5 ms
 HTTP  2/25/2026 10:31:56 PM ::1 Returned 404 in 4 ms
 HTTP  2/25/2026 10:31:56 PM ::1 GET /Group%202.png
 HTTP  2/25/2026 10:31:56 PM ::1 GET /Group%2023.png
 HTTP  2/25/2026 10:31:56 PM ::1 Returned 404 in 4 ms
 HTTP  2/25/2026 10:31:56 PM ::1 Returned 404 in 5 ms
 HTTP  2/25/2026 10:31:57 PM ::1 GET /Group%2022.png
 HTTP  2/25/2026 10:31:57 PM ::1 GET /home.js
 HTTP  2/25/2026 10:31:57 PM ::1 GET /Group%2021.png
 HTTP  2/25/2026 10:31:57 PM ::1 GET /Group%2020.png
 HTTP  2/25/2026 10:31:57 PM ::1 GET /Group%2011.png
 HTTP  2/25/2026 10:31:57 PM ::1 Returned 404 in 9 ms
 HTTP  2/25/2026 10:31:57 PM ::1 Returned 404 in 9 ms
 HTTP  2/25/2026 10:31:57 PM ::1 Returned 404 in 10 ms
 HTTP  2/25/2026 10:31:57 PM ::1 GET /Group%207.png
 HTTP  2/25/2026 10:31:57 PM ::1 Returned 404 in 10 ms
 HTTP  2/25/2026 10:31:57 PM ::1 Returned 404 in 17 ms
 HTTP  2/25/2026 10:31:57 PM ::1 Returned 404 in 13 ms
 HTTP  2/25/2026 10:31:57 PM ::1 GET /Vector%203.png
 HTTP  2/25/2026 10:31:57 PM ::1 GET /Group%2012.png
 HTTP  2/25/2026 10:31:57 PM ::1 GET /Group%2024.png
 HTTP  2/25/2026 10:31:57 PM ::1 GET /Group%2025.png
 HTTP  2/25/2026 10:31:57 PM ::1 GET /Group%2026.png
 HTTP  2/25/2026 10:31:57 PM ::1 Returned 404 in 10 ms
 HTTP  2/25/2026 10:31:57 PM ::1 Returned 404 in 6 ms
 HTTP  2/25/2026 10:31:57 PM ::1 Returned 404 in 6 ms
 HTTP  2/25/2026 10:31:57 PM ::1 Returned 404 in 6 ms
 HTTP  2/25/2026 10:31:57 PM ::1 Returned 404 in 5 ms
 HTTP  2/25/2026 10:31:57 PM ::1 GET /home.js
 HTTP  2/25/2026 10:31:57 PM ::1 Returned 404 in 2 ms
 HTTP  2/25/2026 10:33:18 PM ::1 GET /home.css
 HTTP  2/25/2026 10:33:18 PM ::1 Returned 304 in 2 ms
 HTTP  2/25/2026 10:33:18 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  2/25/2026 10:33:18 PM ::1 Returned 404 in 3 ms
 HTTP  2/25/2026 10:35:52 PM ::1 GET /
 HTTP  2/25/2026 10:35:52 PM ::1 Returned 304 in 2 ms
 HTTP  2/25/2026 10:35:52 PM ::1 GET /home.css
 HTTP  2/25/2026 10:35:52 PM ::1 Returned 304 in 1 ms
 HTTP  2/25/2026 10:35:52 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  2/25/2026 10:35:52 PM ::1 GET /Group%201.png
 HTTP  2/25/2026 10:35:52 PM ::1 GET /img1.png
 HTTP  2/25/2026 10:35:52 PM ::1 Returned 404 in 4 ms
 HTTP  2/25/2026 10:35:52 PM ::1 Returned 404 in 6 ms
 HTTP  2/25/2026 10:35:52 PM ::1 Returned 404 in 19 ms
 HTTP  2/25/2026 10:35:53 PM ::1 GET /Group%202.png
 HTTP  2/25/2026 10:35:53 PM ::1 GET /Group%2023.png
 HTTP  2/25/2026 10:35:53 PM ::1 GET /Group%2022.png
 HTTP  2/25/2026 10:35:53 PM ::1 Returned 404 in 7 ms
 HTTP  2/25/2026 10:35:53 PM ::1 Returned 404 in 7 ms
 HTTP  2/25/2026 10:35:53 PM ::1 GET /home.js
 HTTP  2/25/2026 10:35:53 PM ::1 GET /Group%2021.png
 HTTP  2/25/2026 10:35:53 PM ::1 Returned 404 in 13 ms
 HTTP  2/25/2026 10:35:53 PM ::1 GET /Group%2020.png
 HTTP  2/25/2026 10:35:53 PM ::1 Returned 404 in 9 ms
 HTTP  2/25/2026 10:35:53 PM ::1 Returned 404 in 12 ms
 HTTP  2/25/2026 10:35:53 PM ::1 Returned 404 in 12 ms
 HTTP  2/25/2026 10:35:53 PM ::1 GET /Group%2011.png
 HTTP  2/25/2026 10:35:53 PM ::1 GET /Group%207.png
 HTTP  2/25/2026 10:35:53 PM ::1 Returned 404 in 4 ms
 HTTP  2/25/2026 10:35:53 PM ::1 Returned 404 in 3 ms
 HTTP  2/25/2026 10:35:53 PM ::1 GET /Vector%203.png
 HTTP  2/25/2026 10:35:53 PM ::1 GET /Group%2012.png
 HTTP  2/25/2026 10:35:53 PM ::1 GET /Group%2024.png
 HTTP  2/25/2026 10:35:53 PM ::1 Returned 404 in 9 ms
 HTTP  2/25/2026 10:35:53 PM ::1 GET /Group%2025.png
 HTTP  2/25/2026 10:35:53 PM ::1 Returned 404 in 13 ms
 HTTP  2/25/2026 10:35:53 PM ::1 Returned 404 in 11 ms
 HTTP  2/25/2026 10:35:53 PM ::1 Returned 404 in 11 ms
 HTTP  2/25/2026 10:35:53 PM ::1 GET /Group%2026.png
 HTTP  2/25/2026 10:35:53 PM ::1 Returned 404 in 6 ms
 HTTP  2/25/2026 10:35:53 PM ::1 GET /home.js
 HTTP  2/25/2026 10:35:53 PM ::1 Returned 404 in 2 ms
 HTTP  2/25/2026 10:37:09 PM ::1 GET /
 HTTP  2/25/2026 10:37:09 PM ::1 Returned 304 in 3 ms
 HTTP  2/25/2026 10:37:09 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  2/25/2026 10:37:09 PM ::1 Returned 404 in 3 ms
 HTTP  2/25/2026 10:37:09 PM ::1 GET /home.css
 HTTP  2/25/2026 10:37:09 PM ::1 Returned 304 in 1 ms
 HTTP  2/25/2026 10:37:09 PM ::1 GET /Group%201.png
 HTTP  2/25/2026 10:37:09 PM ::1 Returned 200 in 2 ms
 HTTP  2/25/2026 10:37:09 PM ::1 GET /img1.png
 HTTP  2/25/2026 10:37:09 PM ::1 Returned 200 in 3 ms
 HTTP  2/25/2026 10:37:09 PM ::1 GET /Group%202.png
 HTTP  2/25/2026 10:37:09 PM ::1 GET /Group%2023.png
 HTTP  2/25/2026 10:37:09 PM ::1 Returned 200 in 2 ms
 HTTP  2/25/2026 10:37:09 PM ::1 Returned 200 in 3 ms
 HTTP  2/25/2026 10:37:10 PM ::1 GET /Group%2022.png
 HTTP  2/25/2026 10:37:10 PM ::1 GET /home.js
 HTTP  2/25/2026 10:37:10 PM ::1 GET /Group%2021.png
 HTTP  2/25/2026 10:37:10 PM ::1 Returned 200 in 7 ms
 HTTP  2/25/2026 10:37:10 PM ::1 GET /Group%2020.png
 HTTP  2/25/2026 10:37:10 PM ::1 Returned 200 in 5 ms
 HTTP  2/25/2026 10:37:10 PM ::1 Returned 404 in 8 ms
 HTTP  2/25/2026 10:37:10 PM ::1 GET /Group%2011.png
 HTTP  2/25/2026 10:37:10 PM ::1 Returned 200 in 9 ms
 HTTP  2/25/2026 10:37:10 PM ::1 GET /Group%207.png
 HTTP  2/25/2026 10:37:10 PM ::1 Returned 200 in 9 ms
 HTTP  2/25/2026 10:37:10 PM ::1 Returned 200 in 5 ms
 HTTP  2/25/2026 10:37:10 PM ::1 GET /Vector%203.png
 HTTP  2/25/2026 10:37:10 PM ::1 GET /Group%2012.png
 HTTP  2/25/2026 10:37:10 PM ::1 GET /Group%2024.png
 HTTP  2/25/2026 10:37:10 PM ::1 Returned 200 in 23 ms
 HTTP  2/25/2026 10:37:10 PM ::1 Returned 200 in 24 ms
 HTTP  2/25/2026 10:37:10 PM ::1 Returned 200 in 24 ms
 HTTP  2/25/2026 10:37:10 PM ::1 GET /Group%2025.png
 HTTP  2/25/2026 10:37:10 PM ::1 GET /Group%2026.png
 HTTP  2/25/2026 10:37:10 PM ::1 Returned 200 in 10 ms
 HTTP  2/25/2026 10:37:10 PM ::1 Returned 200 in 9 ms
 HTTP  2/25/2026 10:37:10 PM ::1 GET /home.js
 HTTP  2/25/2026 10:37:10 PM ::1 Returned 404 in 2 ms
 HTTP  2/25/2026 10:37:47 PM ::1 HEAD /Group%201.png
 HTTP  2/25/2026 10:37:47 PM ::1 Returned 200 in 1 ms
 HTTP  2/25/2026 10:39:41 PM ::1 GET /
 HTTP  2/25/2026 10:39:41 PM ::1 Returned 304 in 3 ms
 HTTP  2/25/2026 10:39:41 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  2/25/2026 10:39:41 PM ::1 GET /home.css
 HTTP  2/25/2026 10:39:41 PM ::1 Returned 304 in 1 ms
 HTTP  2/25/2026 10:39:41 PM ::1 Returned 404 in 4 ms
 HTTP  2/25/2026 10:39:41 PM ::1 GET /Group%201.png
 HTTP  2/25/2026 10:39:41 PM ::1 Returned 304 in 1 ms
 HTTP  2/25/2026 10:39:41 PM ::1 GET /img1.png
 HTTP  2/25/2026 10:39:41 PM ::1 Returned 304 in 2 ms
 HTTP  2/25/2026 10:39:42 PM ::1 GET /Group%202.png
 HTTP  2/25/2026 10:39:42 PM ::1 GET /Group%2023.png
 HTTP  2/25/2026 10:39:42 PM ::1 Returned 304 in 2 ms
 HTTP  2/25/2026 10:39:42 PM ::1 Returned 304 in 2 ms
 HTTP  2/25/2026 10:39:42 PM ::1 GET /Group%2022.png
 HTTP  2/25/2026 10:39:42 PM ::1 GET /home.js
 HTTP  2/25/2026 10:39:42 PM ::1 GET /Group%2020.png
 HTTP  2/25/2026 10:39:42 PM ::1 GET /Group%2021.png
 HTTP  2/25/2026 10:39:42 PM ::1 Returned 304 in 5 ms
 HTTP  2/25/2026 10:39:42 PM ::1 Returned 304 in 4 ms
 HTTP  2/25/2026 10:39:42 PM ::1 Returned 304 in 4 ms
 HTTP  2/25/2026 10:39:42 PM ::1 Returned 404 in 6 ms
 HTTP  2/25/2026 10:39:42 PM ::1 GET /Group%2011.png
 HTTP  2/25/2026 10:39:42 PM ::1 Returned 304 in 1 ms
 HTTP  2/25/2026 10:39:42 PM ::1 GET /Group%207.png
 HTTP  2/25/2026 10:39:42 PM ::1 GET /Vector%203.png
 HTTP  2/25/2026 10:39:42 PM ::1 GET /Group%2012.png
 HTTP  2/25/2026 10:39:42 PM ::1 GET /Group%2024.png
 HTTP  2/25/2026 10:39:42 PM ::1 Returned 304 in 2 ms
 HTTP  2/25/2026 10:39:42 PM ::1 Returned 304 in 3 ms
 HTTP  2/25/2026 10:39:42 PM ::1 Returned 304 in 2 ms
 HTTP  2/25/2026 10:39:42 PM ::1 Returned 304 in 3 ms
 HTTP  2/25/2026 10:39:42 PM ::1 GET /Group%2025.png
 HTTP  2/25/2026 10:39:42 PM ::1 Returned 304 in 12 ms
 HTTP  2/25/2026 10:39:42 PM ::1 GET /Group%2026.png
 HTTP  2/25/2026 10:39:42 PM ::1 Returned 304 in 1 ms
 HTTP  2/25/2026 10:39:42 PM ::1 GET /home.js
 HTTP  2/25/2026 10:39:42 PM ::1 Returned 404 in 2 ms
 HTTP  2/25/2026 10:39:43 PM ::1 HEAD /Group%201.png
 HTTP  2/25/2026 10:39:43 PM ::1 Returned 200 in 1 ms
 HTTP  2/25/2026 10:40:03 PM ::1 HEAD /home.js
 HTTP  2/25/2026 10:40:03 PM ::1 Returned 404 in 2 ms
 HTTP  2/25/2026 10:41:50 PM ::1 GET /
 HTTP  2/25/2026 10:41:50 PM ::1 Returned 304 in 1 ms
 HTTP  2/25/2026 10:41:50 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  2/25/2026 10:41:50 PM ::1 Returned 404 in 2 ms
 HTTP  2/25/2026 10:41:50 PM ::1 GET /home.css
 HTTP  2/25/2026 10:41:50 PM ::1 Returned 304 in 1 ms
 HTTP  2/25/2026 10:41:50 PM ::1 GET /Group%201.png
 HTTP  2/25/2026 10:41:50 PM ::1 GET /img1.png
 HTTP  2/25/2026 10:41:50 PM ::1 Returned 304 in 1 ms
 HTTP  2/25/2026 10:41:50 PM ::1 Returned 304 in 2 ms
 HTTP  2/25/2026 10:41:52 PM ::1 GET /Group%202.png
 HTTP  2/25/2026 10:41:52 PM ::1 GET /Group%2023.png
 HTTP  2/25/2026 10:41:52 PM ::1 GET /Group%2022.png
 HTTP  2/25/2026 10:41:52 PM ::1 Returned 304 in 3 ms
 HTTP  2/25/2026 10:41:52 PM ::1 Returned 304 in 3 ms
 HTTP  2/25/2026 10:41:52 PM ::1 Returned 304 in 5 ms
 HTTP  2/25/2026 10:41:52 PM ::1 GET /home.js
 HTTP  2/25/2026 10:41:52 PM ::1 GET /Group%2021.png
 HTTP  2/25/2026 10:41:52 PM ::1 GET /Group%2020.png
 HTTP  2/25/2026 10:41:52 PM ::1 Returned 304 in 2 ms
 HTTP  2/25/2026 10:41:52 PM ::1 Returned 304 in 3 ms
 HTTP  2/25/2026 10:41:52 PM ::1 Returned 404 in 7 ms
 HTTP  2/25/2026 10:41:52 PM ::1 GET /Group%2011.png
 HTTP  2/25/2026 10:41:52 PM ::1 GET /Group%207.png
 HTTP  2/25/2026 10:41:52 PM ::1 Returned 304 in 4 ms
 HTTP  2/25/2026 10:41:52 PM ::1 Returned 304 in 5 ms
 HTTP  2/25/2026 10:41:52 PM ::1 GET /Vector%203.png
 HTTP  2/25/2026 10:41:52 PM ::1 GET /Group%2012.png
 HTTP  2/25/2026 10:41:52 PM ::1 Returned 304 in 2 ms
 HTTP  2/25/2026 10:41:52 PM ::1 Returned 304 in 2 ms
 HTTP  2/25/2026 10:41:52 PM ::1 GET /Group%2024.png
 HTTP  2/25/2026 10:41:52 PM ::1 Returned 304 in 2 ms
 HTTP  2/25/2026 10:41:52 PM ::1 GET /Group%2025.png
 HTTP  2/25/2026 10:41:52 PM ::1 Returned 304 in 1 ms
 HTTP  2/25/2026 10:41:52 PM ::1 GET /Group%2026.png
 HTTP  2/25/2026 10:41:52 PM ::1 Returned 304 in 2 ms
 HTTP  2/25/2026 10:41:54 PM ::1 GET /home.js
 HTTP  2/25/2026 10:41:54 PM ::1 Returned 404 in 2 ms
 HTTP  2/25/2026 10:42:26 PM ::1 GET /home.css
 HTTP  2/25/2026 10:42:26 PM ::1 Returned 304 in 3 ms
 HTTP  2/25/2026 10:42:26 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  2/25/2026 10:42:26 PM ::1 Returned 404 in 2 ms
 HTTP  2/25/2026 10:44:05 PM ::1 GET /.well-known/appspecific/com.chrome.devtools.json
 HTTP  2/25/2026 10:44:05 PM ::1 Returned 404 in 2 ms
 HTTP  2/25/2026 10:47:03 PM ::1 GET /
 HTTP  2/25/2026 10:47:03 PM ::1 Returned 304 in 3 ms
 HTTP  2/25/2026 10:47:03 PM ::1 GET /home.css
 HTTP  2/25/2026 10:47:03 PM ::1 Returned 304 in 1 ms
